"","title","release_date","critic_name","rating"
"1","Awakenings","1991-01-11","Emrah","Good"
"2","Awakenings","1991-01-11","Connie","Excellent"
"3","Awakenings","1991-01-11","Clara","Average"
"4","Awakenings","1991-01-11","Alp","Bad"
"5","Awakenings","1991-01-11","Deniz","Excellent"
"6","Awakenings","1991-01-11","Emre","Good"
"7","Braveheart","1995-05-24","Emrah","Excellent"
"8","Braveheart","1995-05-24","Connie","Excellent"
"9","Braveheart","1995-05-24","Clara","Average"
"10","Braveheart","1995-05-24","Alp","Average"
"11","Braveheart","1995-05-24","Deniz","Excellent"
"12","Braveheart","1995-05-24","Emre","Excellent"
"13","Forest Gump","1994-07-06","Emrah","Excellent"
"14","Forest Gump","1994-07-06","Connie","Good"
"15","Forest Gump","1994-07-06","Clara","Good"
"16","Forest Gump","1994-07-06","Alp","Excellent"
"17","Forest Gump","1994-07-06","Deniz","Excellent"
"18","Forest Gump","1994-07-06","Emre","Excellent"
"19","Interstellar","2014-11-07","Emrah","Bad"
"20","Interstellar","2014-11-07","Connie","Average"
"21","Interstellar","2014-11-07","Clara","Average"
"22","Interstellar","2014-11-07","Alp","Awful"
"23","Interstellar","2014-11-07","Deniz","Bad"
"24","Interstellar","2014-11-07","Emre","Excellent"
"25","Matrix","1999-03-31","Emrah","Excellent"
"26","Matrix","1999-03-31","Connie","Average"
"27","Matrix","1999-03-31","Clara","Good"
"28","Matrix","1999-03-31","Alp","Bad"
"29","Matrix","1999-03-31","Deniz","Bad"
"30","Matrix","1999-03-31","Emre","Excellent"
"31","Memento","2001-05-25","Emrah","Excellent"
"32","Memento","2001-05-25","Connie","Good"
"33","Memento","2001-05-25","Clara","Good"
"34","Memento","2001-05-25","Alp","Bad"
"35","Memento","2001-05-25","Deniz","Average"
"36","Memento","2001-05-25","Emre","Good"
